q06_1,q06_2,q06_3,q06_4,q06_5,q06_6,q06_7,q06_8,q06_9,q06_10,q06_11,q06_12,q06_13,q06_14,q06_15,q06_16,q06_17,q07_1,q07_2,q07_3,q07_4,q07_5,q07_6,q07_7,q07_8,q07_9,q07_10,q07_11,q07_12,q07_13,q07_14,q07_15,q07_16,q07_17,q07_18,q07_19,q08_1,q08_2,q08_3,q08_4,q08_5,q08_6,q08_7,q08_8,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q16_8,q16_9,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7,q26_8,q26_9,q26_10,q26_11,q26_12,q26_13,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_8,q31_9,q31_10,q31_11,q31_12,q31_13,q31_14,q31_15,q31_16,q31_17,q31_18,q31_19,q31_20,q35_1,q35_2,q35_3,q35_4,q35_5,q35_6,q35_7,q35_8,q35_9,q35_10,q35_11,q35_12,q35_13,q39_1,q39_2,q39_3,q39_4,q39_5,q39_6,q39_7,q39_8,q48_1,q48_2,q48_3,q48_4,q48_5,q48_6,q48_7,q48_8,q48_9,q48_10,q48_11,q48_12,q48_13,q48_14,q48_15,q48_16,q48_17,q48_18,q48_19,q48_20,q48_21,q48_22,q48_23,q48_24,q48_25,q48_26,q48_27,q48_28,q48_29,q48_30,q48_31,q48_32,q48_33,q48_34,q48_35
3.463929785,3.056922468,3.826751901,-2.376591225,-0.258734582,-0.502006934,1.394124475,-0.81472468,-1.012834797,-1.787199557,-1.320198993,1.349876556,1.256698664,3.290795611,-3.754479552,0.226605803,-2.201433935,4.256935876,-0.103536298,-2.946507803,-1.393434566,-1.400074717,1.463980706,0.517887483,-0.683357863,-1.317415193,3.362675535,4.481589912,2.495994838,-0.29779179,-0.220118709,-1.370523168,-0.879433355,3.62341885,2.649309828,3.492636067,1.481191586,2.373313154,3.567952298,3.53302821,2.039241626,-1.018279261,1.329116014,0.584629633,5.901357223,2.634645106,1.171823837,-1.032281694,2.112606666,1.534452043,2.281427617,2.606578672,3.49979926,3.017434859,-0.090970646,3.118936532,2.325371148,2.825768105,-1.249498645,1.587427675,3.092081896,0.126953475,3.197483075,4.32080619,1.084374658,0.677181487,1.560651294,4.430465927,-1.768902891,0.155953789,-0.867113976,0.308605915,2.613349439,-0.813695284,-0.517368469,2.779147799,2.592666577,1.458634061,3.033941446,0.893545115,1.396977898,-2.620972954,1.780920759,1.155270067,-1.215728241,0.404993406,0.329555765,2.968200497,-0.881044484,2.746041985,-1.767081165,0.034265251,-1.080971724,0.744416757,-1.966965825,-1.065080819,2.817851134,3.027343875,-0.79660869,0.919815141,-0.103872909,-2.408046208,2.244751427,-2.291454015,2.302769316,-1.401002267,1.621280362,2.099676784,0.613738122,2.843973857,1.2002522,2.744369288,3.28860275,3.003228158,1.840451958,-0.437980687,3.071518717,1.804320099,0.024251512,3.216457566,-1.164757888,3.450565473,-2.242217352,0.81179185,3.166791077,3.885630593,4.424475981,3.555173747,4.026450131,0.516054249,2.969617715,0.584114072,1.041923723,-1.968849695,0.857812586,4.57841701,2.62594904,0.577266776,-2.398290825,2.944132539,4.941209205,1.675733054,-1.292768954,3.578275604,-1.202414565,-0.925578953,-3.122594944,-2.595073488
-0.390300462,5.058192242,4.618161136,-2.273481183,-1.231428407,0.466431808,6.821231168,-3.808034974,5.800779369,0.679302495,5.462848861,4.807257779,6.670138833,5.654777134,6.038230064,1.267502577,-0.115579937,3.125800263,-1.400250055,1.030576328,-1.192552974,-1.199853466,-2.92859147,-2.342899114,1.892917451,-0.769519867,6.073259137,5.338120536,6.406807453,2.656280612,0.776352849,-0.827909247,5.607993257,6.359932478,2.984172628,6.216143797,3.325760341,4.6460542,6.298949968,5.921098931,2.313435241,1.86414314,-0.772088957,-1.930065817,-3.267000875,-1.980962388,2.646173164,-0.795484691,3.68051361,5.010188664,5.831448392,0.63241297,1.614461275,3.388906428,0.918344242,3.500502093,-1.302630972,1.212853908,5.201126246,-1.166996826,3.131522987,-1.146838867,-1.02269825,3.196022259,0.24524843,3.72821163,-2.482853455,3.31658728,4.630069034,5.120474796,3.65621259,7.593086686,4.5705074,-2.181031911,4.380192954,-1.482635531,4.547767698,7.231609879,-4.454246127,0.035441545,-3.002257476,7.284459996,3.655296549,-3.26800232,2.933475967,-0.841148821,3.346015725,8.891297508,-0.62920746,-1.519033604,-1.603357443,-2.874615913,-0.509562909,1.83680805,-1.823119945,5.743337661,-1.100629413,-2.835628506,-2.162246115,2.36910307,4.834809226,5.892690278,3.825799714,2.090226831,-3.632259513,3.408684813,1.175001429,0.075101432,-0.272191292,2.858741457,4.642753796,4.714556722,5.312912331,5.338612085,7.651398254,4.467475578,7.379019073,3.681022873,1.045024848,7.198917722,-2.567006484,1.560331358,6.075010243,8.146312733,-0.716988593,-3.517859422,2.970547786,3.9801216,-1.397710699,1.585735676,1.371008867,2.000017683,2.50335493,0.479587876,4.26625974,1.174472555,-1.311615511,3.957814613,1.972765468,1.003535409,3.878122222,7.470298621,1.222902521,6.310299892,3.627021379,1.966062174,4.767628258,5.687063778
-2.451305585,1.578113626,3.826751901,-2.376591225,-1.737543425,5.413228435,-0.084684368,5.100510689,1.944782887,-1.787199557,4.595036376,5.786303083,4.214316348,3.290795611,-3.754479552,-2.731011882,-2.201433935,-1.658299493,-1.58234514,-2.946507803,-1.393434566,0.078734125,1.463980706,-0.960921359,-2.162166705,3.119011334,3.362675535,-1.433645457,-1.940431689,4.138634736,-3.177736393,-2.84933201,2.078184329,2.144610007,4.12811867,3.492636067,-4.434043783,-3.541922215,-3.826091914,-3.861016001,-2.3971849,-1.018279261,1.329116014,-3.851796894,-2.971495831,-0.322972578,-1.785793847,-1.032281694,6.549033192,0.055643201,-2.154998909,-1.829847855,0.542181575,-4.376609352,-0.090970646,-2.796298838,3.80417999,-4.568276107,-2.728307488,-1.370190009,-2.823153473,0.126953475,-1.238943452,4.32080619,-1.873243027,2.155990329,3.039460137,4.430465927,-1.768902891,0.155953789,-2.345922818,-1.170202927,5.570967124,-2.292504126,-3.474986154,2.779147799,4.071475419,-2.977792466,4.512750288,-2.064072569,5.833404425,1.815453572,-2.655505768,2.634078909,-1.215728241,1.883802248,-2.62806192,-2.947034872,-0.881044484,-1.690384542,1.19053652,5.94950062,3.355454802,-0.734392085,5.427078386,4.850154551,-0.13976655,-2.887891494,6.597435521,5.356241668,-3.061490593,-3.886855051,-2.1916751,3.623781354,2.302769316,4.514233102,-1.336337322,3.578485626,-0.86507072,-0.113643828,-0.278556642,-3.170866081,-2.626632619,-4.390816054,4.798069642,1.040828156,-4.322525494,0.325511257,2.981869197,-2.698777803,-1.164757888,0.492947789,-3.721026195,5.248218377,-2.748444293,-3.508413619,-1.490759388,-3.838870464,-3.36759408,-2.441563436,4.448426557,-3.852312455,3.999541408,3.946385674,-3.578613941,-1.336818359,5.583566724,-3.859159751,-3.877099667,1.465323697,0.504782679,-1.28188463,-2.771577797,-2.336959765,4.712820804,-3.883196638,-1.643786102,0.362544197
1.575024704,7.023517408,2.65283597,-0.308156017,2.699221925,-1.498893358,4.855906002,6.018590857,7.766104535,2.644627662,7.428174027,4.807257779,4.704813666,5.654777134,8.00355523,3.232827743,3.815070396,3.125800263,-1.400250055,-2.900074005,-1.192552974,-1.199853466,4.932709195,-2.342899114,-2.037732882,-2.734845033,6.073259137,1.407470203,2.47615712,-3.239694886,2.741678015,-2.793234414,-2.253307408,4.394607312,4.949497795,4.250818631,7.256410673,0.715403868,4.333624802,3.955773765,4.278760408,7.760118638,1.193236209,5.931234847,-1.301675709,-1.980962388,-3.249802334,-0.795484691,3.68051361,-2.851112001,-2.029852273,2.597738137,-2.316189058,3.388906428,2.883669408,3.500502093,6.558669693,5.14350424,-2.660174419,-1.166996826,-2.764452511,-1.146838867,-1.02269825,3.196022259,-1.720076737,-2.167763869,5.37844721,7.247237612,-3.23123163,-2.740825869,3.65621259,7.593086686,4.5705074,1.749618422,2.414867787,4.413339968,4.547767698,7.231609879,3.407054538,-1.929883621,2.893718022,5.31913483,1.689971383,2.627973179,-0.997174366,-0.841148821,-2.549959774,-2.900653489,-0.62920746,-1.519033604,-1.603357443,4.986684751,1.455762258,-2.093842282,-1.823119945,-4.08328817,2.830020919,3.060346993,-2.162246115,4.334428236,-3.026491438,-1.968610387,-2.070175784,4.055551997,8.159691484,7.339335145,3.140326596,5.971076931,-2.237516458,-3.037234042,4.642753796,6.679881889,3.347587165,1.407961753,1.755422755,4.467475578,1.483043574,3.681022873,3.010350014,3.26826739,1.363643848,5.49098169,4.109685077,2.250337234,-0.716988593,0.41279091,2.970547786,-1.915853899,0.567614467,3.551060842,1.371008867,3.965342849,2.50335493,4.410238208,2.300934573,3.139797721,2.619034821,5.923139779,3.938090634,2.968860575,3.878122222,3.539648289,-2.707747811,4.344974725,7.557671712,7.862037673,2.802303092,5.687063778
5.505675036,7.023517408,0.687510803,-2.273481183,2.699221925,2.431756974,2.890580835,0.122615358,-0.09519613,2.644627662,5.462848861,2.841932613,2.7394885,1.724126801,4.072904898,5.198152909,1.84974523,3.125800263,2.530400277,4.96122666,0.772772192,0.7654717,6.898034361,5.518401551,5.823567783,3.161130465,4.107933971,1.407470203,4.441482287,2.656280612,4.707003181,3.102741085,5.607993257,2.429282146,4.949497795,2.285493465,5.291085507,2.680729034,0.40297447,3.955773765,4.278760408,3.829468306,5.123886542,3.965909681,-1.301675709,5.880338276,4.61149833,-0.795484691,1.715188444,-0.885786834,-2.029852273,2.597738137,3.579786441,5.354231594,6.814319741,1.535176927,6.558669693,-0.752471259,3.23580108,2.763653506,3.131522987,2.783811466,0.942626916,7.126672592,4.175898762,1.762886464,5.37844721,5.281912446,4.630069034,5.120474796,5.621537756,5.62776152,4.5705074,3.714943588,4.380192954,4.413339968,0.617117366,3.300959547,7.337704871,3.966091877,4.859043189,7.284459996,1.689971383,6.558623511,-0.997174366,3.089501511,-2.549959774,-0.935328323,5.266768039,6.34226706,6.257943222,6.952009918,5.38641259,1.83680805,0.142205221,5.743337661,2.830020919,3.060346993,3.733729384,2.36910307,4.834809226,5.892690278,3.825799714,4.055551997,4.229041152,5.374009979,7.070976928,4.005751765,3.658459041,2.858741457,4.642753796,0.78390639,3.347587165,3.373286919,3.720747921,2.502150412,5.413693906,3.681022873,4.97567518,3.26826739,1.363643848,-0.404993808,4.109685077,0.285012068,5.178986905,2.378116076,1.00522262,2.014796433,2.532939633,1.585735676,1.371008867,2.000017683,0.538029764,4.410238208,2.300934573,3.139797721,0.653709655,5.923139779,3.938090634,2.968860575,5.843447388,3.539648289,3.188227688,6.310299892,1.661696213,1.966062174,2.802303092,3.721738612
4.942738627,6.014540153,3.826751901,-2.376591225,5.656500787,2.45561075,-0.084684368,-3.772342364,-3.970452482,-0.308390714,4.595036376,-3.086549971,-3.179727863,-4.1032486,-3.754479552,6.141841172,6.671419118,4.256935876,-1.58234514,1.489918724,-1.393434566,-1.400074717,5.900407233,-2.439730202,-2.162166705,-2.796224035,3.362675535,4.481589912,5.453612522,-3.255409475,2.737498976,-2.84933201,0.599375487,3.62341885,4.12811867,3.492636067,-4.434043783,3.852121997,3.567952298,2.054219368,3.518050469,-3.975896946,4.286733698,-3.851796894,-1.492686988,-1.801781421,-3.264602689,-1.032281694,2.112606666,-2.901974484,-2.154998909,-3.308656697,6.457416944,3.017434859,5.824264723,-2.796298838,3.80417999,2.825768105,3.186927882,-1.370190009,-2.823153473,-1.351855367,-1.238943452,4.32080619,-1.873243027,2.155990329,4.518268979,4.430465927,-3.247711733,-2.801663896,6.526930235,4.745032442,5.570967124,-2.292504126,-3.474986154,4.257956641,-3.322568792,4.416251745,4.512750288,-2.064072569,-3.039448629,6.251880099,4.738538443,5.591696594,-1.215728241,-1.073815437,6.244791134,-2.947034872,-0.881044484,-1.690384542,7.105771889,5.94950062,-2.559780567,-2.213200927,-1.966965825,4.850154551,2.817851134,-2.887891494,3.639817837,-3.516611386,-3.061490593,-3.886855051,-2.1916751,-3.770262858,-3.612466053,4.514233102,0.14247152,5.057294468,2.092546965,2.843973857,5.636678727,2.744369288,1.809793908,-2.912007211,-1.117165727,-0.437980687,1.592709875,4.761937784,2.981869197,0.258839881,0.314050954,0.492947789,-3.721026195,5.248218377,-2.748444293,2.406821751,-2.96956823,-0.88125278,-3.36759408,3.473671933,4.448426557,-0.89469477,2.520732565,-3.447658537,2.336621428,-2.815627201,2.62594904,2.056075618,4.995753386,-2.97110283,4.941209205,1.675733054,-2.771577797,3.578275604,3.234011962,4.989656416,-3.122594944,4.798970724
1.384946896,2.280154106,1.476734015,1.456214421,-0.628243376,1.706582994,0.821215156,1.408292009,1.219321402,-1.959046558,2.209574849,0.779008548,-3.160184304,1.092651632,1.425330747,-0.165293435,2.906728955,0.603634243,0.930381305,-0.370847777,1.110576775,2.387680818,3.454724396,1.395988266,1.66074679,1.055940736,1.03406711,2.101362065,0.461666163,1.901376982,-0.591408987,1.005282817,2.757154804,1.282781426,1.764197685,1.158032109,2.060555044,-1.065942021,-2.620439841,-2.526604385,-0.101163804,-3.919623331,-0.651380472,0.049065134,-1.550972507,-0.435221101,-3.241143558,-1.111807314,5.356864839,-2.895244656,-2.18272967,-3.283165201,2.702599447,2.115339824,-0.468218975,-2.92159257,0.171765565,1.932515325,-0.162713804,2.41618684,1.030253647,2.433675641,2.541378536,1.947995857,-0.630534308,0.264495622,2.136348999,2.052596608,-0.65815612,1.050751835,2.768905848,1.069213213,0.573606788,2.81986015,-3.4418213,0.858904665,1.837315958,2.039038176,2.131084905,0.470877642,2.107374801,-0.060330987,1.063018805,1.876817795,1.280084889,-1.15142496,1.216344947,-2.938226252,-0.967547204,4.677639718,3.321043518,0.934677214,2.564914103,0.328629095,4.413818094,2.452923532,-1.798201614,-1.598373504,1.552720619,2.935663086,2.086349709,2.582500052,2.916037581,0.126837721,-1.006083052,2.132499311,-1.52898417,0.083631643,-2.3628966,-1.773284024,-0.647150975,3.265457954,1.217708309,0.818350667,1.119803622,0.484217628,0.883490745,1.085338652,3.492001164,-1.417984287,-2.648758154,1.372199127,2.740678645,4.116061147,-1.465359488,-3.473706639,-2.959720068,-2.505480498,-2.055945737,-1.172636115,0.786290792,0.048573357,3.052138373,-3.415754402,-2.257230516,-1.529443015,-1.981250596,0.042041951,2.591805386,0.889129709,-3.877411783,2.246121636,-1.487425763,1.239720796,3.60536333,2.58598969,-1.822249265,1.120663133
1.575024704,5.058192242,2.65283597,-2.273481183,-3.196753573,8.327732473,-3.005394663,6.018590857,-4.025846462,-3.251347837,-4.36377697,-3.054042885,-3.156486999,5.654777134,-3.788395767,-2.663147756,-2.080905103,-4.735500402,-1.400250055,-0.934748838,-1.192552974,-1.199853466,-2.92859147,-2.342899114,-2.037732882,-2.734845033,6.073259137,3.37279537,2.47615712,-3.239694886,-3.154297484,-2.793234414,1.677342925,4.394607312,-4.877128037,6.216143797,3.325760341,2.680729034,6.298949968,7.886424098,6.244085574,-4.031832359,3.158561376,0.035259349,-1.301675709,-0.015637222,4.61149833,-0.795484691,7.611163943,-0.885786834,-2.029852273,4.563063303,5.545111607,7.31955676,8.779644907,7.431152425,6.558669693,7.108829406,9.131776579,-1.166996826,-2.764452511,-1.146838867,-1.02269825,5.161347425,-1.720076737,-2.167763869,5.37844721,3.31658728,-3.23123163,-2.740825869,3.65621259,3.662436354,6.535832566,5.680268754,8.310843286,-1.482635531,-3.313532967,3.300959547,7.337704871,-1.929883621,4.859043189,7.284459996,7.585946882,-3.26800232,-0.997174366,-0.841148821,9.241991224,2.99532201,-0.62920746,-1.519033604,-1.603357443,-2.874615913,1.455762258,-2.093842282,-1.823119945,7.708662827,-3.06595458,6.990997325,3.733729384,-3.526872429,-3.026491438,1.962039945,-2.070175784,-1.840423502,-3.632259513,7.339335145,5.105651762,4.005751765,-2.237516458,-3.037234042,4.642753796,6.679881889,-2.548388334,5.338612085,7.651398254,4.467475578,5.413693906,7.611673206,4.97567518,3.26826739,-0.601681318,-0.404993808,-1.786290422,0.285012068,7.144312072,6.308766409,4.935872952,5.945446766,6.463589966,-2.344914656,5.3016592,5.930668016,-1.427295402,-3.451062457,0.335609407,-0.790852611,0.653709655,5.923139779,-1.957884865,-0.961789757,7.808772554,5.504973455,1.222902521,6.310299892,3.627021379,5.896712507,-3.093672407,-2.174236887
0.101509036,0.996716246,0.193296155,0.172776561,1.938632344,-0.860292726,0.821215156,1.408292009,-0.064116458,-0.675608697,0.926136988,2.062446408,1.973567137,-0.190786228,1.425330747,1.118144425,-0.943584626,0.603634243,2.213819165,0.912590083,1.110576775,1.104242957,2.171286536,1.395988266,1.66074679,2.339378596,-0.24937075,-0.465513655,0.461666163,0.617939122,0.692028873,1.005282817,2.757154804,-0.000656434,1.764197685,-0.125405751,-1.789758536,0.217495839,1.22987374,0.040271336,-0.101163804,-0.06930975,1.915495248,1.332502994,1.015903214,-1.718658961,3.176045743,2.738506266,1.506551258,2.238506784,1.667583911,3.1340241,1.419161587,0.831901964,0.815218885,-0.35471685,1.455203425,0.649077465,-1.446151664,1.13274898,1.030253647,1.150237781,1.257940676,-0.618879864,1.936341412,1.547933482,0.852911139,-0.514279113,-0.65815612,2.334189695,2.768905848,1.069213213,1.857044648,1.536422289,2.975368001,-0.424533195,0.553878098,0.755600316,-0.435790816,1.754315502,0.823936941,2.506544734,2.346456665,1.876817795,-0.003352972,0.1320129,1.216344947,-0.371350531,0.315890656,0.827326137,3.321043518,0.934677214,1.281476243,1.612066955,1.846942373,-0.113952188,-0.514763754,0.968502216,1.552720619,1.652225226,-0.480526011,0.015624332,0.349161861,1.410275581,0.277354809,-0.434376409,-0.24554631,0.083631643,1.487416981,0.793591697,0.636286885,1.982020094,-0.065729551,-0.465087193,-0.163634238,-0.799220232,-0.399947115,1.085338652,-1.641750277,1.148891433,-0.081882433,1.372199127,0.173802925,-1.017690294,2.384954093,1.660044801,2.174031373,0.061395222,-0.772507877,-1.172636115,0.786290792,0.048573357,0.485262653,-0.848878681,-2.257230516,-0.246005155,0.585625125,0.042041951,1.308367526,0.889129709,-0.027098202,-0.320754084,1.079449958,-0.043717064,1.03848761,0.019113969,0.744626455,-0.162774727
5.505675036,7.023517408,2.65283597,3.622494315,2.699221925,4.397082141,0.925255669,6.018590857,1.870129037,-1.286022671,5.462848861,2.841932613,2.7394885,1.724126801,2.107579732,5.198152909,3.815070396,3.125800263,0.565075111,2.995901494,2.738097358,2.730796867,-2.92859147,1.587751219,3.858242617,1.195805299,4.107933971,3.37279537,4.441482287,0.690955446,2.741678015,3.102741085,1.677342925,4.394607312,4.949497795,6.216143797,1.360435175,0.715403868,0.40297447,3.955773765,2.313435241,3.829468306,3.158561376,2.000584515,0.663649458,-1.980962388,-1.284477168,-0.795484691,3.68051361,-0.885786834,-2.029852273,-1.332912196,3.579786441,3.388906428,-1.046980924,3.500502093,6.558669693,3.178179074,3.23580108,0.79832834,3.131522987,2.783811466,2.907952083,5.161347425,4.175898762,-0.202438703,1.447796878,1.351262114,0.699418702,3.15514963,1.690887424,1.697111187,2.605182234,1.749618422,6.34551812,2.448014802,4.547767698,3.300959547,5.372379705,3.966091877,0.928392856,3.353809664,3.655296549,2.627973179,0.968150801,1.124176345,3.346015725,8.891297508,-0.62920746,2.411616728,-1.603357443,-2.874615913,1.455762258,1.83680805,-1.823119945,3.778012495,2.830020919,1.095021826,-2.162246115,-3.526872429,2.86948406,3.927365111,-0.104850618,2.090226831,0.298390819,1.443359647,5.105651762,0.075101432,3.658459041,2.858741457,4.642753796,2.749231556,1.382261999,1.407961753,1.755422755,2.502150412,1.483043574,1.715697707,3.010350014,5.233592556,3.328969014,3.525656524,2.144359911,4.2156624,-0.716988593,2.378116076,2.970547786,0.049471267,0.567614467,1.585735676,3.336334033,2.000017683,2.50335493,-3.451062457,4.26625974,-0.790852611,2.619034821,5.923139779,3.938090634,2.968860575,1.912797056,3.539648289,3.188227688,4.344974725,1.661696213,1.966062174,0.836977925,1.756413446
